FID,the_geom,District,ID_Muni,Municipali,Longitude,Latitude,Population,Urb_ou_Rur,Pop_total,Services__,Densite_Po,Urb_Rur
population_mada.210,POINT (46.833333333333336 -19.133333333333333),SOAVINANDRIANA,113110,ANTANETIBE,46.833333,-19.133333,11280,,7073,10.2,45.06,Rural
population_mada.211,POINT (46.61666666666667 -19.316666666666666),SOAVINANDRIANA,113131,AMPARAKY,46.616667,-19.316667,7409,,4646,10.2,78.2,Rural
population_mada.212,POINT (46.61666666666667 -19.233333333333334),SOAVINANDRIANA,113132,AMBEROMANGA,46.616667,-19.233333,6506,,4079,10.2,243.7,Rural
population_mada.213,POINT (46.6 -19.033333333333335),SOAVINANDRIANA,113150,ANKARANANA,46.6,-19.033333,10827,,6789,10.2,142.56,Rural
population_mada.214,POINT (46.5 -19.15),SOAVINANDRIANA,113170,MAHAVELONA,46.5,-19.15,20203,,12667,10.2,70.13,Rural
population_mada.215,POINT (46.5 -19.3),SOAVINANDRIANA,113190,ANKISABE,46.5,-19.3,20196,,12663,10.2,75.11,Rural
population_mada.216,POINT (46.4 -19.183333333333334),SOAVINANDRIANA,113210,AMBATOASANA CENTRE,46.4,-19.183333,9176,,5753,10.2,47.97,Rural
population_mada.217,POINT (46.31666666666667 -19.333333333333336),SOAVINANDRIANA,113230,TAMPONALA,46.316667,-19.333333,16947,,10626,10.2,143.6,Rural
population_mada.218,POINT (46.7 -19.233333333333334),SOAVINANDRIANA,113250,AMPARIBOHITRA,46.7,-19.233333,4673,,2930,10.2,215.33,Rural
population_mada.219,POINT (47.28333333333333 -19.650000000000002),ANTANIFOTSY,114010,ANTANIFOTSY,47.283333,-19.65,70373,,49894,10.2,132.91,Rural
population_mada.220,POINT (47.25 -19.75),ANTANIFOTSY,114030,AMBATOLAHY,47.25,-19.75,13037,,9243,10.2,263.97,Rural
population_mada.221,POINT (47.31666666666667 -19.55),ANTANIFOTSY,114050,AMPITATAFIKA,47.316667,-19.55,37797,,26798,10.2,299.73,Rural
population_mada.222,POINT (47.43333333333334 -19.683333333333334),ANTANIFOTSY,114079,AMBATOMIADY,47.433333,-19.683333,45982,,32601,10.2,182.36,Rural
population_mada.223,POINT (47.4 -19.8),ANTANIFOTSY,114090,ANDRANOFITO,47.4,-19.8,25348,,17972,10.2,446.4,Rural
population_mada.224,POINT (47.38333333333333 -19.483333333333334),ANTANIFOTSY,114110,AMBOHIMANDROSO,47.383333,-19.483333,36606,,25953,10.2,131.32,Rural
population_mada.225,POINT (47.266666666666666 -19.46666666666667),ANTANIFOTSY,114150,AMBATOTSIPIHINA,47.266667,-19.466667,30407,,21559,10.2,63.05,Rural
population_mada.226,POINT (47.6 -19.8),ANTANIFOTSY,114179,AMBOHITOMPOINA,47.6,-19.8,38132,,27036,10.2,313.85,Rural
population_mada.227,POINT (47.46666666666667 -19.566666666666666),ANTANIFOTSY,114199,ANTSAHALAVA,47.466667,-19.566667,35441,,25127,10.2,229.14,Rural
